respondent_id,role,class_name,submitted_at,S0.1,S0.2,S0.3,S0.4,S1.1,S1.1__freetext,S1.2,S1.3,S1.4,S1.5,S1.6,S2.1,S2.2,S2.3,S2.4,S2.4__freetext,S2.5,S3.1,S3.2,S3.3,S3.4,S3.5,S3.6,S3.7,S4.1,S4.2,S4.3,S4.4,S4.5,S5.1,S5.2,S5.3,S5.4,S5.5,S6.1,S6.2,S6.3,S6.4,S7.1,S7.2,S7.3
S045,student,1BHBG,2026-05-11T13:17:36.4433333,9. Schulstufe (1. Klasse Oberstufe),Sonstiger Schwerpunkt,4,"Ja, regelmäßig",Google Gemini,,"Ja, bis inkl. 10 €/Monat",Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Programmieren und Fehlersuche im Code|Prüfungsvorbereitung",Smartphone,2,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Beides gleichermaßen,Angewandte Mathematik,,"Richtige Antworten, gratis Dateien Management bzw Connection zu anderen Apps und Dateien, Lernhilfe/ Lernplan guide","Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,"Ja, vereinfachte Sprache wäre hilfreich",,4,3,3,4,4,Personalisiertes Lerntempo|Bessere Erklärungen als im Lehrbuch|Motivation und Abwechslung beim Lernen,2,3,Meistens,3,2,2,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist","Um zu sehen, ob der KI-Tutor gut funktioniert","Ja, Quellenangaben sind mir wichtig",Data Sharing per dritte Apps. Und das meine Angaben sehr sehr verpackt formuliert werden.,"Das er immer in der Tasche ist und das es 
Ned peinlich wäre zu fragen. Zudem wenn es Funktionen die beim lernen helfen hab ich den halt zu Hause bzw dort wo mein Lehrer nicht ist. Und in der Schule bzw besonders bei EBA Stunden, wenn die Lehrkraft die ganze Zeit fragen anderer beantwortet, dann frag ich den Tutor.",
S046,student,1BHIF,2026-05-05T13:56:46.5433333,9. Schulstufe (1. Klasse Oberstufe),Informatik,4,"Ja, regelmäßig",ChatGPT|Claude Code,,"Ja, über 10 €/Monat",Täglich,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Prüfungsvorbereitung",Desktop-PC,3,Gar nicht,"Beim Programmieren (Fehler finden, Code verstehen)",Weiß ich noch nicht,Angewandte Mathematik|Programmierunterricht|Physik,,Unendlich Fotos und schnelle Antworten ,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Sich an mein Lerntempo und meinen Wissensstand anpassen",Mit Bildern und Diagrammen,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",3,Beides wäre hilfreich,Ich finde dass allgemein die ki bisher gut genug Ist für mich und meine täglichen Aufgaben ,2,3,2,3,3,Personalisiertes Lerntempo|Gezielte Vorbereitung auf Prüfungen|Motivation und Abwechslung beim Lernen,2,4,Immer,1,4,3,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist","Um zu sehen, ob der KI-Tutor gut funktioniert|Um häufige Missverständnisse zu erkennen|Um den Unterricht besser an unsere Fragen anzupassen","Ja, Quellenangaben sind mir wichtig",Wenn meine Chats für jeden Zusehen sind ,N/A,
S047,student,1BHIF,2026-05-05T15:25:10.3433333,9. Schulstufe (1. Klasse Oberstufe),Informatik,2,"Ja, regelmäßig",ChatGPT|Perplexity|Claude Code|GitHub Copilot|Claude Cowork|Google Gemini|Microsoft Copilot,,"Ja, über 10 €/Monat",Täglich,Programmieren und Fehlersuche im Code|Prüfungsvorbereitung|Zusammenfassungen erstellen,Laptop,3,Täglich,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Hauptsächlich zu Hause,Angewandte Mathematik|Programmierunterricht|Physik,,Immer zu 100% richtig liegen ,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Sich an mein Lerntempo und meinen Wissensstand anpassen",Mit Beispielen und Vergleichen aus dem Alltag,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",4,"Ja, vereinfachte Sprache wäre hilfreich",,4,2,4,3,4,Gezielte Vorbereitung auf Prüfungen|Personalisiertes Lerntempo|Bessere Erklärungen als im Lehrbuch,2,2,Meistens,1,1,3,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Um den Unterricht besser an unsere Fragen anzupassen|Für keinen Zweck — meine Chats sollen privat bleiben,"Ja, Quellenangaben sind mir wichtig",Wenn er anfängt zu halluzinieren ,Hilft extremst beim lernen nutze selbst unteranderem Astra AI und es hilft enorm,
S048,student,1BHIF,2026-05-05T15:46:48.4066667,9. Schulstufe (1. Klasse Oberstufe),Informatik,2,"Ja, regelmäßig",Google Gemini,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Programmieren und Fehlersuche im Code",Desktop-PC,2,Seltener,"Bei Hausübungen, wenn ich nicht weiterkomme|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe|Beim Programmieren (Fehler finden, Code verstehen)",Hauptsächlich im Unterricht,Angewandte Mathematik,,idk,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Zusammenfassungen von Unterrichtsmaterial erstellen|Sich an mein Lerntempo und meinen Wissensstand anpassen",Mit Beispielen und Vergleichen aus dem Alltag,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",3,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",Sie wissen oft nicht wie viel man schon weiß,3,2,3,4,3,"Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Individuelles Feedback auf meine Aufgaben",3,3,Manchmal,1,1,4,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Um häufige Missverständnisse zu erkennen,"Wäre nett, aber nicht entscheidend",idk,idk,
S049,student,1BHIF,2026-05-05T18:35:11.9366667,9. Schulstufe (1. Klasse Oberstufe),Informatik,2,"Ja, regelmäßig",ChatGPT|Google Gemini,"Deepseek,",Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Programmieren und Fehlersuche im Code|Prüfungsvorbereitung",Laptop,2,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe|Beim Programmieren (Fehler finden, Code verstehen)",Hauptsächlich zu Hause,Physik|Angewandte Mathematik,,Die künstliche Inteligenz sollte besser erklären. Sie sollte nicht nur text zurückgeben sondern auch Bilder mit denen man sich was besser vorstellen kann. und es soll keine Nachrichten begrenzung geben,"Stoff Schritt für Schritt erklären|Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Meine Texte oder meinen Code korrigieren und Rückmeldung geben",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,Beides wäre hilfreich,,3,2,3,3,3,Gezielte Vorbereitung auf Prüfungen|Bessere Erklärungen als im Lehrbuch|Personalisiertes Lerntempo,3,3,Manchmal,1,2,2,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Um den Unterricht besser an unsere Fragen anzupassen|Um häufige Missverständnisse zu erkennen,"Wäre nett, aber nicht entscheidend","Ich weiß nicht
",Der größte Wert eines Ki-Tuturs ist wenn er beim lernen hilft und das lernen leichter macht. ,
S050,student,1BHIF,2026-05-06T06:43:10.4266667,9. Schulstufe (1. Klasse Oberstufe),Informatik,3,"Ja, regelmäßig",Claude Code|GitHub Copilot,Qwen,Nein,Etwa einmal pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Texte schreiben oder verbessern|Programmieren und Fehlersuche im Code",Desktop-PC,2,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Beides gleichermaßen,Physik|Angewandte Mathematik|Programmierunterricht,,"schön wäre ein tiefgreifendes Verständnis sowie eine ansprechende Formatierung des Outputs, um eine schnelle visuelle Erfassung zu bekommen. Eine Integration in die IDEs von Jetbrains und VSCode oder die Verfügbarkeit als Desktop-App wäre auch relativ gut.","Stoff Schritt für Schritt erklären|Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Sich an mein Lerntempo und meinen Wissensstand anpassen",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,Beides wäre hilfreich,Bei die jetzigen KI Tools ist immer das problem dass sie Limits besitzen oder dass deren Kontext Limit will zu groß ist. Außerdem erklären sie meist nicht so wie ich es verstehe beziehungsweise sie versuchen es meist erst garnicht.,3,2,2,3,3,Gezielte Vorbereitung auf Prüfungen|Motivation und Abwechslung beim Lernen|Personalisiertes Lerntempo,3,3,Meistens,2,3,2,Nur wenn ich vorher informiert werde,"Um den Unterricht besser an unsere Fragen anzupassen|Um häufige Missverständnisse zu erkennen|Um zu sehen, ob der KI-Tutor gut funktioniert","Ja, Quellenangaben sind mir wichtig",Wenn er schlecht formatiert oder schlecht erklärt.,"Ich glaube er wird mir helfen meinen Workflow zu verbessern, und er wird mir helfen mich bei Themen aufzuklären wo ich hängen geblieben bin, vorallem in Physik oder zum Teil auch in der Mathematik.",
S051,student,1BHIF,2026-05-06T17:16:27.6166667,9. Schulstufe (1. Klasse Oberstufe),Informatik,4,"Ja, regelmäßig",ChatGPT,,Weiß nicht (z.B. Eltern zahlen),Täglich,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Programmieren und Fehlersuche im Code",Laptop,2,Täglich,"Zur Vorbereitung auf Tests und Schularbeiten|Bei Hausübungen, wenn ich nicht weiterkomme|Beim Programmieren (Fehler finden, Code verstehen)",Beides gleichermaßen,Angewandte Mathematik|Programmierunterricht|Physik,,er soll besser erklären und nicht so kompliziert,Stoff Schritt für Schritt erklären|Meine Texte oder meinen Code korrigieren und Rückmeldung geben|Sich an mein Lerntempo und meinen Wissensstand anpassen,Schritt-für-Schritt-Anleitungen,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,"Nein, Deutsch reicht völlig",,1,,,,,,,,,,,,,,,,,
S052,student,1CHIF,2026-05-12T11:55:20.1366667,9. Schulstufe (1. Klasse Oberstufe),Informatik,3,"Ja, regelmäßig",ChatGPT|Microsoft Copilot|Google Gemini|DeepL|GitHub Copilot|Claude Code,,Nein,Täglich,"Programmieren und Fehlersuche im Code|Hausübungen lösen oder kontrollieren|Erklärungen zu Themen, die ich nicht verstehe",Laptop,4,Täglich,"Beim Programmieren (Fehler finden, Code verstehen)|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe|Bei Hausübungen, wenn ich nicht weiterkomme",Hauptsächlich im Unterricht,Programmierunterricht|Physik|Angewandte Mathematik,,ka,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Meine Texte oder meinen Code korrigieren und Rückmeldung geben",Schritt-für-Schritt-Anleitungen,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",4,"Ja, Erklärungen in einer anderen Sprache (z.B. Englisch, Muttersprache) wären hilfreich",,4,4,4,3,4,"Personalisiertes Lerntempo|Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts",4,4,Nie,1,1,4,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Für keinen Zweck — meine Chats sollen privat bleiben,Ich würde die Quellen ohnehin nicht überprüfen,offenlegen von chats,besser für faule,
S053,student,1CHIF,2026-05-12T11:55:24.2466667,9. Schulstufe (1. Klasse Oberstufe),Sonstiger Schwerpunkt,4,"Ja, regelmäßig",ChatGPT|Google Gemini|Microsoft Copilot|Claude Cowork,,Nein,Seltener,"Erklärungen zu Themen, die ich nicht verstehe",Laptop,1,Etwa einmal pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten",Weiß ich noch nicht,Angewandte Mathematik|Physik,,Weis ned,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen",Das hängt vom Thema ab — ich möchte wählen können,Die komplette Lösung zeigen und erklären,4,"Nein, Deutsch reicht völlig",nichts,1,1,2,3,3,Bessere Erklärungen als im Lehrbuch,1,2,Selten,1,1,4,"Finde ich gut, das hilft beim Lernen",Um den Unterricht besser an unsere Fragen anzupassen,"Wäre nett, aber nicht entscheidend",Das der Lehrer dadurch weiß wer das gefragt hat,Keine Ahnung,Nein
S054,student,1CHIF,2026-05-12T11:55:37.5266667,9. Schulstufe (1. Klasse Oberstufe),Informatik,4,"Ja, regelmäßig",Claude Code|Google Gemini|Microsoft Copilot|ChatGPT|Perplexity|GitHub Copilot|Claude Cowork,,"Ja, über 10 €/Monat",Täglich,Texte schreiben oder verbessern|Programmieren und Fehlersuche im Code|Hausübungen lösen oder kontrollieren,Smartphone,2,Täglich,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten",Weiß ich noch nicht,Angewandte Mathematik|Programmierunterricht|Physik,,Besser erklären und auf moodle zugreifen können und kostenlos sein,Stoff Schritt für Schritt erklären|Meine Texte oder meinen Code korrigieren und Rückmeldung geben|Sich an mein Lerntempo und meinen Wissensstand anpassen,Das hängt vom Thema ab — ich möchte wählen können,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",4,"Nein, Deutsch reicht völlig",auf moodle zugreifen können,4,2,1,2,4,Personalisiertes Lerntempo|Gezielte Vorbereitung auf Prüfungen|Individuelles Feedback auf meine Aufgaben,4,4,Manchmal,1,4,1,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Für keinen Zweck — meine Chats sollen privat bleiben,"Ja, Quellenangaben sind mir wichtig",Lehrer mitlesen,Lehrnhilfe,
S055,student,1CHIF,2026-05-12T11:56:28.0066667,9. Schulstufe (1. Klasse Oberstufe),Informatik,3,"Ja, regelmäßig",ChatGPT|Microsoft Copilot|Google Gemini,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Programmieren und Fehlersuche im Code",Smartphone,2,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Beim Programmieren (Fehler finden, Code verstehen)",Hauptsächlich zu Hause,Programmierunterricht|Englisch|Physik,,Meine Promts besser verstehen,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Sich an mein Lerntempo und meinen Wissensstand anpassen",Schritt-für-Schritt-Anleitungen,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",3,"Ja, vereinfachte Sprache wäre hilfreich",Eine einscan Funktion damit ich ihr den Lernstoff schicken kann,2,2,3,2,3,Personalisiertes Lerntempo|Bessere Erklärungen als im Lehrbuch|Gezielte Vorbereitung auf Prüfungen,2,3,Selten,3,2,4,Nur wenn ich vorher informiert werde,Für keinen Zweck — meine Chats sollen privat bleiben,"Ja, Quellenangaben sind mir wichtig",Keine Bilderstellung oder andere erstellungen,Beim erklären von Sachen,Nein aber danke für die guen fragen und es kann gerne öfters vorkommen
S056,student,1CHIF,2026-05-12T11:57:08.1733333,9. Schulstufe (1. Klasse Oberstufe),Informatik,4,"Ja, regelmäßig",ChatGPT|Google Gemini|Claude Code,,"Ja, bis inkl. 10 €/Monat",Täglich,Hausübungen lösen oder kontrollieren|Programmieren und Fehlersuche im Code|Zusammenfassungen erstellen,Smartphone,4,Gar nicht,Zum eigenständigen Vertiefen über den Unterricht hinaus,Weiß ich noch nicht,Angewandte Mathematik|Physik,,gratis sei gonz afoch. i man wo samma denn das i wie dreck behandlet werde vo chatgpt wenn i kane 10€ im monat dafür zoih sog...,"Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Quellen und weiterführende Links anbieten",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,Beides wäre hilfreich,IMMA NU DAS OIS GUADE HINTA ANA PAYWALL IS...,2,4,2,1,1,Motivation und Abwechslung beim Lernen,4,4,Nie,1,4,4,Nur wenn ich vorher informiert werde,Für keinen Zweck — meine Chats sollen privat bleiben,Ich würde die Quellen ohnehin nicht überprüfen,wenn nix anonym wär und de lehrer wissaden wos i erm ois frog des warad nd so leiwond,jo eig goa nd wast eh es gibt in liaben chati und mea brauch i goa nd,na eig nd so
S057,student,1CHIF,2026-05-12T11:57:08.5766667,9. Schulstufe (1. Klasse Oberstufe),Informatik,2,"Ja, regelmäßig",ChatGPT,,Nein,Täglich,"Prüfungsvorbereitung|Hausübungen lösen oder kontrollieren|Erklärungen zu Themen, die ich nicht verstehe",Desktop-PC,2,Täglich,"Zur Vorbereitung auf Tests und Schularbeiten|Bei Hausübungen, wenn ich nicht weiterkomme|Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe",Hauptsächlich zu Hause,Physik|Programmierunterricht|Angewandte Mathematik,,"man sollte einstellen können für welchem Jahrgang die Antworten geeignet sind. Z. B. Physik in der 1 Oberstufe kann nich sachen von der 4 benutzten
","Stoff Schritt für Schritt erklären|Meine Texte oder meinen Code korrigieren und Rückmeldung geben|Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen",Das hängt vom Thema ab — ich möchte wählen können,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,Beides wäre hilfreich,,4,1,3,3,4,"Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Individuelles Feedback auf meine Aufgaben",4,4,Manchmal,3,4,1,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist","Um den Unterricht besser an unsere Fragen anzupassen|Um zu sehen, ob der KI-Tutor gut funktioniert","Ja, Quellenangaben sind mir wichtig",wenn er allles oberflchlich erklärt,damit ich jederzeit jemanden fragen kann.,
S058,student,1CHIF,2026-05-12T11:57:47.4833333,9. Schulstufe (1. Klasse Oberstufe),Informatik,4,"Nein, noch nie",Claude Code|Claude Cowork|Google Gemini|ChatGPT|Microsoft Copilot|Grammarly,"Windsurf, Cursor",Nein,Täglich,"Programmieren und Fehlersuche im Code|Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren",Smartphone,4,Gar nicht,"Bei Hausübungen, wenn ich nicht weiterkomme",Weiß ich noch nicht,Physik|Angewandte Mathematik,,Alles und das die Schule und Lehrer die Daten nicht gegen Schüler nutzen können,Zusammenfassungen von Unterrichtsmaterial erstellen|Quellen und weiterführende Links anbieten,Das hängt vom Thema ab — ich möchte wählen können,Die komplette Lösung zeigen und erklären,2,"Nein, Deutsch reicht völlig",Gar nichts sind perfekt deswegen mach ich auch nichts selber,4,4,1,1,4,"Personalisiertes Lerntempo|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Motivation und Abwechslung beim Lernen",4,4,Nie,1,1,4,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Für keinen Zweck — meine Chats sollen privat bleiben,Ich würde die Quellen ohnehin nicht überprüfen,Wenn die Lehrer es sehen. Wenn es kostet. Wenn es einfach nur dumm ist und man es merkt.,Nirgends,"Optimal, wer es nicht nutzt ist einfach nur dumm und kann sich nicht an die heutigen Zeit anpassen."
S059,student,1CHIF,2026-05-12T11:57:49.4733333,9. Schulstufe (1. Klasse Oberstufe),Informatik,1,"Ja, regelmäßig",ChatGPT|Google Gemini|Microsoft Copilot,,Nein,Täglich,"Erklärungen zu Themen, die ich nicht verstehe",Smartphone,1,Täglich,"Bei Hausübungen, wenn ich nicht weiterkomme",Hauptsächlich zu Hause,Angewandte Mathematik,,Fotos generieren,"Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen",Schritt-für-Schritt-Anleitungen,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",1,"Ja, vereinfachte Sprache wäre hilfreich",Fotos gut bearbeiten,1,1,2,3,4,Bessere Erklärungen als im Lehrbuch,3,2,Meistens,3,3,3,Ist mir egal,Um häufige Missverständnisse zu erkennen,"Ja, Quellenangaben sind mir wichtig",ich hab keine ahnung,Hilfe wenn lehrer keine zeit haben ,nö
S060,student,1CHIF,2026-05-12T11:58:23.4800000,9. Schulstufe (1. Klasse Oberstufe),Informatik,4,"Ja, regelmäßig",ChatGPT|Google Gemini|GitHub Copilot|Grammarly|Claude Code|Claude Cowork,,Nein,Täglich,"Programmieren und Fehlersuche im Code|Prüfungsvorbereitung|Erklärungen zu Themen, die ich nicht verstehe",Laptop,3,Gar nicht,"Um Texte zu verbessern oder Feedback zu bekommen|Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten",Hauptsächlich im Unterricht,Deutsch|Physik|Angewandte Mathematik,,"keine begrenzungen haben in schulische sinne und keine daten sammeln. 
für mich wird es reichen normalen chat und model die mir code schreibt","Bei Aufgaben Hinweise geben, ohne die Lösung zu verraten|Meine Texte oder meinen Code korrigieren und Rückmeldung geben|Stoff Schritt für Schritt erklären",Das hängt vom Thema ab — ich möchte wählen können,Die komplette Lösung zeigen und erklären,3,Beides wäre hilfreich,,2,4,3,2,4,"Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Gezielte Vorbereitung auf Prüfungen|Individuelles Feedback auf meine Aufgaben",4,2,Nie,4,1,4,"Finde ich unangenehm, auch wenn niemand weiß, dass es mein Chat ist",Für keinen Zweck — meine Chats sollen privat bleiben,"Ja, Quellenangaben sind mir wichtig","Lernpersonen im chat, schlechten Datenschutz",Zeitsparen,
S061,student,1CHIF,2026-05-12T11:58:56.9400000,9. Schulstufe (1. Klasse Oberstufe),Informatik,4,"Ja, regelmäßig",ChatGPT|Google Gemini|Claude Code|Microsoft Copilot,,"Ja, über 10 €/Monat",Täglich,"Erklärungen zu Themen, die ich nicht verstehe|Texte schreiben oder verbessern|Programmieren und Fehlersuche im Code",Laptop,2,Mehrmals pro Woche,"Um Unterrichtsstoff nachzuarbeiten, den ich nicht verstanden habe|Zur Vorbereitung auf Tests und Schularbeiten|Beim Programmieren (Fehler finden, Code verstehen)",Beides gleichermaßen,Programmierunterricht|Englisch|Physik,,"Er sollte natürlich möglichst fehlerfrei Informationen ausgeben, aber es wäre natürlich am besten wenn die Ausgabe auf geprüften Informationen basieren würde. Außerdem sollte er rein für schulische Zwecke verwendet werden, welche in einem geschlossenen Umfeld sind. Erledigungen aus reiner Faulheit sollte er natürlich nicht machen, da der Lerneffekt bestehen bleiben soll.","Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Zusammenfassungen von Unterrichtsmaterial erstellen",Schritt-für-Schritt-Anleitungen,"Erst fragen, wo genau ich hänge, und dann gezielt helfen",4,Beides wäre hilfreich,,3,1,3,4,4,"Bessere Erklärungen als im Lehrbuch|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Motivation und Abwechslung beim Lernen",2,4,Selten,1,1,4,Nur wenn ich vorher informiert werde,Um den Unterricht besser an unsere Fragen anzupassen|Um häufige Missverständnisse zu erkennen,"Ja, Quellenangaben sind mir wichtig",Wenn es ein US-Amerikanisches Produkt wäre.,Individuele Lernanpassung.,
S062,student,1CHIF,2026-05-12T11:59:11.4433333,9. Schulstufe (1. Klasse Oberstufe),Informatik,3,"Ja, regelmäßig",ChatGPT|Google Gemini|Claude Code|Claude Cowork,,Nein,Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Übersetzungen|Programmieren und Fehlersuche im Code",Smartphone,2,Mehrmals pro Woche,"Bei Hausübungen, wenn ich nicht weiterkomme|Zur Vorbereitung auf Tests und Schularbeiten|Beim Programmieren (Fehler finden, Code verstehen)",Weiß ich noch nicht,Angewandte Mathematik|Physik|Deutsch,,Mehr optisch zeigen was man machen muss oder wie es aussehen soll ,"Stoff Schritt für Schritt erklären|Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Meine Texte oder meinen Code korrigieren und Rückmeldung geben",Schritt-für-Schritt-Anleitungen,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",4,Beides wäre hilfreich,,3,2,3,3,4,"Personalisiertes Lerntempo|Sofort verfügbare Hilfe, auch außerhalb des Unterrichts|Gezielte Vorbereitung auf Prüfungen",2,3,Manchmal,1,2,3,Ist mir egal,"Um zu sehen, ob der KI-Tutor gut funktioniert","Wäre nett, aber nicht entscheidend",Limit bei der nutztung und nicht kostenlos,Am meisten beim lernen ,
S063,student,1CHIF,2026-05-12T11:59:29.5566667,9. Schulstufe (1. Klasse Oberstufe),Informatik,4,"Ja, regelmäßig",ChatGPT|Google Gemini,,"Ja, über 10 €/Monat",Mehrmals pro Woche,"Erklärungen zu Themen, die ich nicht verstehe|Hausübungen lösen oder kontrollieren|Programmieren und Fehlersuche im Code",Laptop,3,Täglich,Zur Vorbereitung auf Tests und Schularbeiten,Hauptsächlich zu Hause,Programmierunterricht|Angewandte Mathematik|Physik,,"Zu erklären mit begriffen die leicht zu verstehen sind ohne 5 mal nachzufragen
Und es ausfürhlich aber nicht zu lang zusammenzufassen","Neue Übungsbeispiele erstellen, die zu meinem Wissensstand passen|Stoff Schritt für Schritt erklären|Zusammenfassungen von Unterrichtsmaterial erstellen",Das hängt vom Thema ab — ich möchte wählen können,"Einen Hinweis geben, der mich in die richtige Richtung lenkt",4,Beides wäre hilfreich,"Dinge aus z.b PDF ziehen und zusammenfassung oder beispiele erstellen und erklären

in einem Tool (ich möchte nicht 5 verschiedene verwenden müssen)",3,2,3,3,3,Personalisiertes Lerntempo|Bessere Erklärungen als im Lehrbuch|Individuelles Feedback auf meine Aufgaben,2,3,Manchmal,2,3,2,"Finde ich gut, das hilft beim Lernen",Um den Unterricht besser an unsere Fragen anzupassen|Um häufige Missverständnisse zu erkennen,"Wäre nett, aber nicht entscheidend",Sofortiges lösen von Aufgaben zulassen,Ich habe dauerhafte lernbegleitung die mir 24/7 zur Verfügung steht,Macht es nicht... jedenfalls nicht um aufgaben zu lösen
